Symbol	Name	Morningstar Category	NAV Return	NAV Return	Minimum Investment	Net Expense Ratio	No Transaction Fees	Morningstar Rating
OAKMX	 Oakmark Investor	 Large Blend	 +8.08%	 +27.03%	" $1,000"	 0.89%	 NTF	5
OARIX	 Oakmark International Service	 Foreign Large Blend	 +16.02%	 +39.66%	 $0	 1.34%	  	5
OARMX	 Oakmark Service	 Large Blend	 +7.94%	 +26.65%	 $0	 1.21%	  	5
OMEAX	 JPMorgan Market Expansion Enh Idx A	 Small Blend	 +3.96%	 +19.37%	" $1,000"	 0.60%	 NTF	5
ONGAX	 JPMorgan Investor Growth A	 Allocation--85%+ Equity	 +9.70%	 +19.19%	 $500	 1.14%	 NTF	5
PADEX	 Putnam Dynamic Asset Allocation Gr R5	 Allocation--70% to 85% Equity	 +8.60%	 +16.67%	 $0	 0.82%	  	5
PAEEX	 Putnam Dynamic Asset Allocation Gr R6	 Allocation--70% to 85% Equity	 +8.72%	 +16.87%	 $0	 0.72%	  	5
PBDAX	 PIMCO Investment Grade Corp Bd A	 Corporate Bond	 +4.97%	 +4.34%	" $1,000"	 0.90%	  	5
PBDDX	 PIMCO Investment Grade Corp Bd D 	 Corporate Bond	 +4.97%	 +4.34%	" $1,000"	 0.90%	 NTF	5
PCCIX	 Principal SAM Conservative Bal Inst	 Allocation--30% to 50% Equity	 +5.50%	 +8.33%	 $0	 0.97%	  	5
PDTOX	 PNC Target 2050 T	 Target-Date 2050	 +8.18%	 +13.88%	" $1,000"	 1.28%	  	5
